Schuljahr;Schulart;Schulabschluss;Geschlecht;Anzahl
2012/13;Abendrealschulen;Mittlerer Schulabschluss;männlich;2567
2012/13;Abendrealschulen;Fachhochschulreife;männlich;0
2012/13;Abendrealschulen;Allgemeine Hochschulreife;männlich;0
2012/13;Abendrealschulen;Insgesamt;männlich;3577
2012/13;Abendgymnasien;Ohne Ersten Schulabschluss;männlich;0
2012/13;Abendgymnasien;Erster Schulabschluss;männlich;0
2012/13;Abendgymnasien;Mittlerer Schulabschluss;männlich;475
2012/13;Abendgymnasien;Fachhochschulreife;männlich;237
2012/13;Abendgymnasien;Allgemeine Hochschulreife;männlich;1113
2012/13;Abendgymnasien;Insgesamt;männlich;1825
2012/13;Kollegs;Ohne Ersten Schulabschluss;männlich;0
2012/13;Kollegs;Erster Schulabschluss;männlich;4
2012/13;Kollegs;Mittlerer Schulabschluss;männlich;605
2012/13;Kollegs;Fachhochschulreife;männlich;106
2012/13;Kollegs;Allgemeine Hochschulreife;männlich;1687
2012/13;Kollegs;Insgesamt;männlich;2402
2012/13;Externe;Ohne Ersten Schulabschluss;männlich;0
2012/13;Externe;Erster Schulabschluss;männlich;2682
2012/13;Externe;Mittlerer Schulabschluss;männlich;926
2012/13;Externe;Fachhochschulreife;männlich;57
2012/13;Externe;Allgemeine Hochschulreife;männlich;198
2012/13;Externe;Insgesamt;männlich;3863
2012/13;Insgesamt;Ohne Ersten Schulabschluss;männlich;27829
2012/13;Insgesamt;Erster Schulabschluss;männlich;88228
2012/13;Insgesamt;Mittlerer Schulabschluss;männlich;190976
2012/13;Insgesamt;Fachhochschulreife;männlich;560
2012/13;Insgesamt;Allgemeine Hochschulreife;männlich;144817
2012/13;Insgesamt;Insgesamt;männlich;452410
2012/13;Hauptschulen;Ohne Ersten Schulabschluss;weiblich;3845
2012/13;Hauptschulen;Erster Schulabschluss;weiblich;35626
2012/13;Hauptschulen;Mittlerer Schulabschluss;weiblich;21427
2012/13;Hauptschulen;Fachhochschulreife;weiblich;0
2012/13;Hauptschulen;Allgemeine Hochschulreife;weiblich;0
2012/13;Hauptschulen;Insgesamt;weiblich;60898
2012/13;Schularten mit zwei Bildungsgängen;Ohne Ersten Schulabschluss;weiblich;1370
2012/13;Schularten mit zwei Bildungsgängen;Erster Schulabschluss;weiblich;6847
2012/13;Schularten mit zwei Bildungsgängen;Mittlerer Schulabschluss;weiblich;24012
2012/13;Schularten mit zwei Bildungsgängen;Fachhochschulreife;weiblich;0
2012/13;Schularten mit zwei Bildungsgängen;Allgemeine Hochschulreife;weiblich;0
2012/13;Schularten mit zwei Bildungsgängen;Insgesamt;weiblich;32229
2012/13;Realschulen;Ohne Ersten Schulabschluss;weiblich;816
2012/13;Realschulen;Erster Schulabschluss;weiblich;3358
2012/13;Realschulen;Mittlerer Schulabschluss;weiblich;98570
2012/13;Realschulen;Fachhochschulreife;weiblich;0
2012/13;Realschulen;Allgemeine Hochschulreife;weiblich;0
2012/13;Realschulen;Insgesamt;weiblich;102744
2012/13;Gymnasien (G9);Ohne Ersten Schulabschluss;weiblich;15
2012/13;Gymnasien (G9);Erster Schulabschluss;weiblich;128
2012/13;Gymnasien (G9);Mittlerer Schulabschluss;weiblich;4554
2012/13;Gymnasien (G9);Fachhochschulreife;weiblich;0
2012/13;Gymnasien (G9);Allgemeine Hochschulreife;weiblich;56997
2012/13;Gymnasien (G9);Insgesamt;weiblich;61694
2012/13;Gymnasien (G8);Ohne Ersten Schulabschluss;weiblich;371
2012/13;Gymnasien (G8);Erster Schulabschluss;weiblich;2400
2012/13;Gymnasien (G8);Mittlerer Schulabschluss;weiblich;12512
2012/13;Gymnasien (G8);Fachhochschulreife;weiblich;1
2012/13;Gymnasien (G8);Allgemeine Hochschulreife;weiblich;98977
2012/13;Gymnasien (G8);Insgesamt;weiblich;114261
2012/13;Schularten mit drei Bildungsgängen;Ohne Ersten Schulabschluss;weiblich;1518
2012/13;Schularten mit drei Bildungsgängen;Erster Schulabschluss;weiblich;8492
2012/13;Schularten mit drei Bildungsgängen;Mittlerer Schulabschluss;weiblich;20098
2012/13;Schularten mit drei Bildungsgängen;Fachhochschulreife;weiblich;0
2012/13;Schularten mit drei Bildungsgängen;Allgemeine Hochschulreife;weiblich;13731
2012/13;Schularten mit drei Bildungsgängen;Insgesamt;weiblich;43839
2012/13;Freie Waldorfschulen;Ohne Ersten Schulabschluss;weiblich;136
2012/13;Freie Waldorfschulen;Erster Schulabschluss;weiblich;192
2012/13;Freie Waldorfschulen;Mittlerer Schulabschluss;weiblich;1009
2012/13;Freie Waldorfschulen;Fachhochschulreife;weiblich;146
2012/13;Freie Waldorfschulen;Allgemeine Hochschulreife;weiblich;1672
2012/13;Freie Waldorfschulen;Insgesamt;weiblich;3155
2012/13;Förderschulen;Ohne Ersten Schulabschluss;weiblich;10395
2012/13;Förderschulen;Erster Schulabschluss;weiblich;3118
2012/13;Förderschulen;Mittlerer Schulabschluss;weiblich;451
2012/13;Förderschulen;Fachhochschulreife;weiblich;0
2012/13;Förderschulen;Allgemeine Hochschulreife;weiblich;26
2012/13;Förderschulen;Insgesamt;weiblich;13990
2012/13;Abendhauptschulen;Ohne Ersten Schulabschluss;weiblich;0
2012/13;Abendhauptschulen;Erster Schulabschluss;weiblich;237
2012/13;Abendhauptschulen;Mittlerer Schulabschluss;weiblich;0
2012/13;Abendhauptschulen;Fachhochschulreife;weiblich;0
2012/13;Abendhauptschulen;Allgemeine Hochschulreife;weiblich;0
2012/13;Abendhauptschulen;Insgesamt;weiblich;237
2012/13;Abendrealschulen;Ohne Ersten Schulabschluss;weiblich;0
2012/13;Abendrealschulen;Erster Schulabschluss;weiblich;907
2012/13;Abendrealschulen;Mittlerer Schulabschluss;weiblich;2160
2012/13;Abendrealschulen;Fachhochschulreife;weiblich;0
2012/13;Abendrealschulen;Allgemeine Hochschulreife;weiblich;0
2012/13;Abendrealschulen;Insgesamt;weiblich;3067
2012/13;Abendgymnasien;Ohne Ersten Schulabschluss;weiblich;0
2012/13;Abendgymnasien;Erster Schulabschluss;weiblich;5
2012/13;Abendgymnasien;Mittlerer Schulabschluss;weiblich;432
2012/13;Abendgymnasien;Fachhochschulreife;weiblich;178
2012/13;Abendgymnasien;Allgemeine Hochschulreife;weiblich;1377
2012/13;Abendgymnasien;Insgesamt;weiblich;1992
2012/13;Kollegs;Ohne Ersten Schulabschluss;weiblich;0
2012/13;Kollegs;Erster Schulabschluss;weiblich;2
2012/13;Kollegs;Mittlerer Schulabschluss;weiblich;499
2012/13;Kollegs;Fachhochschulreife;weiblich;90
2012/13;Kollegs;Allgemeine Hochschulreife;weiblich;1499
2012/13;Kollegs;Insgesamt;weiblich;2090
2012/13;Externe;Ohne Ersten Schulabschluss;weiblich;0
2012/13;Externe;Erster Schulabschluss;weiblich;1774
2012/13;Externe;Mittlerer Schulabschluss;weiblich;664
2012/13;Externe;Fachhochschulreife;weiblich;93
2012/13;Externe;Allgemeine Hochschulreife;weiblich;197
2012/13;Externe;Insgesamt;weiblich;2728
2012/13;Insgesamt;Ohne Ersten Schulabschluss;weiblich;18466
2012/13;Insgesamt;Erster Schulabschluss;weiblich;63086
2012/13;Insgesamt;Mittlerer Schulabschluss;weiblich;186388
2012/13;Insgesamt;Fachhochschulreife;weiblich;508
2012/13;Insgesamt;Allgemeine Hochschulreife;weiblich;174476
2012/13;Insgesamt;Insgesamt;weiblich;442924
2012/13;Hauptschulen;Ohne Ersten Schulabschluss;Insgesamt;9775
2012/13;Hauptschulen;Erster Schulabschluss;Insgesamt;84691
2012/13;Hauptschulen;Mittlerer Schulabschluss;Insgesamt;46065
2012/13;Hauptschulen;Fachhochschulreife;Insgesamt;0
2012/13;Hauptschulen;Allgemeine Hochschulreife;Insgesamt;0
2012/13;Hauptschulen;Insgesamt;Insgesamt;140531
2012/13;Schularten mit zwei Bildungsgängen;Ohne Ersten Schulabschluss;Insgesamt;3659
2012/13;Schularten mit zwei Bildungsgängen;Erster Schulabschluss;Insgesamt;16978
2012/13;Schularten mit zwei Bildungsgängen;Mittlerer Schulabschluss;Insgesamt;49337
2012/13;Schularten mit zwei Bildungsgängen;Fachhochschulreife;Insgesamt;0
2012/13;Schularten mit zwei Bildungsgängen;Allgemeine Hochschulreife;Insgesamt;0
2012/13;Schularten mit zwei Bildungsgängen;Insgesamt;Insgesamt;69974
2012/13;Realschulen;Ohne Ersten Schulabschluss;Insgesamt;2043
2012/13;Realschulen;Erster Schulabschluss;Insgesamt;8151
2012/13;Realschulen;Mittlerer Schulabschluss;Insgesamt;195682
2012/13;Realschulen;Fachhochschulreife;Insgesamt;0
2012/13;Realschulen;Allgemeine Hochschulreife;Insgesamt;0
2012/13;Realschulen;Insgesamt;Insgesamt;205876
2012/13;Gymnasien (G9);Ohne Ersten Schulabschluss;Insgesamt;25
2012/13;Gymnasien (G9);Erster Schulabschluss;Insgesamt;256
2012/13;Gymnasien (G9);Mittlerer Schulabschluss;Insgesamt;8860
2012/13;Gymnasien (G9);Fachhochschulreife;Insgesamt;0
2012/13;Gymnasien (G9);Allgemeine Hochschulreife;Insgesamt;103581
2012/13;Gymnasien (G9);Insgesamt;Insgesamt;112722
2012/13;Gymnasien (G8);Ohne Ersten Schulabschluss;Insgesamt;862
2012/13;Gymnasien (G8);Erster Schulabschluss;Insgesamt;5319
2012/13;Gymnasien (G8);Mittlerer Schulabschluss;Insgesamt;24732
2012/13;Gymnasien (G8);Fachhochschulreife;Insgesamt;1
2012/13;Gymnasien (G8);Allgemeine Hochschulreife;Insgesamt;181752
2012/13;Gymnasien (G8);Insgesamt;Insgesamt;212666
2012/13;Schularten mit drei Bildungsgängen;Ohne Ersten Schulabschluss;Insgesamt;3455
2012/13;Schularten mit drei Bildungsgängen;Erster Schulabschluss;Insgesamt;19356
2012/13;Schularten mit drei Bildungsgängen;Mittlerer Schulabschluss;Insgesamt;41008
2012/13;Schularten mit drei Bildungsgängen;Fachhochschulreife;Insgesamt;0
2012/13;Schularten mit drei Bildungsgängen;Allgemeine Hochschulreife;Insgesamt;24834
2012/13;Schularten mit drei Bildungsgängen;Insgesamt;Insgesamt;88653
2012/13;Freie Waldorfschulen;Ohne Ersten Schulabschluss;Insgesamt;265
2012/13;Freie Waldorfschulen;Erster Schulabschluss;Insgesamt;428
2012/13;Freie Waldorfschulen;Mittlerer Schulabschluss;Insgesamt;2072
2012/13;Freie Waldorfschulen;Fachhochschulreife;Insgesamt;306
2012/13;Freie Waldorfschulen;Allgemeine Hochschulreife;Insgesamt;2988
2012/13;Freie Waldorfschulen;Insgesamt;Insgesamt;6059
2012/13;Förderschulen;Ohne Ersten Schulabschluss;Insgesamt;26211
2012/13;Förderschulen;Erster Schulabschluss;Insgesamt;9193
2012/13;Förderschulen;Mittlerer Schulabschluss;Insgesamt;1280
2012/13;Förderschulen;Fachhochschulreife;Insgesamt;0
2012/13;Förderschulen;Allgemeine Hochschulreife;Insgesamt;67
2012/13;Förderschulen;Insgesamt;Insgesamt;36751
2012/13;Abendhauptschulen;Ohne Ersten Schulabschluss;Insgesamt;0
2012/13;Abendhauptschulen;Erster Schulabschluss;Insgesamt;558
2012/13;Abendhauptschulen;Mittlerer Schulabschluss;Insgesamt;0
2012/13;Abendhauptschulen;Fachhochschulreife;Insgesamt;0
2012/13;Abendhauptschulen;Allgemeine Hochschulreife;Insgesamt;0
2012/13;Abendhauptschulen;Insgesamt;Insgesamt;558
2012/13;Abendrealschulen;Ohne Ersten Schulabschluss;Insgesamt;0
2012/13;Abendrealschulen;Erster Schulabschluss;Insgesamt;1917
2012/13;Abendrealschulen;Mittlerer Schulabschluss;Insgesamt;4727
2012/13;Abendrealschulen;Fachhochschulreife;Insgesamt;0
2012/13;Abendrealschulen;Allgemeine Hochschulreife;Insgesamt;0
2012/13;Abendrealschulen;Insgesamt;Insgesamt;6644
2012/13;Abendgymnasien;Ohne Ersten Schulabschluss;Insgesamt;0
2012/13;Abendgymnasien;Erster Schulabschluss;Insgesamt;5
2012/13;Abendgymnasien;Mittlerer Schulabschluss;Insgesamt;907
2012/13;Abendgymnasien;Fachhochschulreife;Insgesamt;415
2012/13;Abendgymnasien;Allgemeine Hochschulreife;Insgesamt;2490
2012/13;Abendgymnasien;Insgesamt;Insgesamt;3817
2012/13;Kollegs;Ohne Ersten Schulabschluss;Insgesamt;0
2012/13;Kollegs;Erster Schulabschluss;Insgesamt;6
2012/13;Kollegs;Mittlerer Schulabschluss;Insgesamt;1104
2012/13;Kollegs;Fachhochschulreife;Insgesamt;196
2012/13;Kollegs;Allgemeine Hochschulreife;Insgesamt;3186
2012/13;Kollegs;Insgesamt;Insgesamt;4492
2012/13;Externe;Ohne Ersten Schulabschluss;Insgesamt;0
2012/13;Externe;Erster Schulabschluss;Insgesamt;4456
2012/13;Externe;Mittlerer Schulabschluss;Insgesamt;1590
2012/13;Externe;Fachhochschulreife;Insgesamt;150
2012/13;Externe;Allgemeine Hochschulreife;Insgesamt;395
2012/13;Externe;Insgesamt;Insgesamt;6591
2012/13;Insgesamt;Ohne Ersten Schulabschluss;Insgesamt;46295
2012/13;Insgesamt;Erster Schulabschluss;Insgesamt;151314
2012/13;Insgesamt;Mittlerer Schulabschluss;Insgesamt;377364
2012/13;Insgesamt;Fachhochschulreife;Insgesamt;1068
2012/13;Insgesamt;Allgemeine Hochschulreife;Insgesamt;319293
2012/13;Insgesamt;Insgesamt;Insgesamt;895334
2013/14;Hauptschulen;Ohne Ersten Schulabschluss;männlich;5672
2013/14;Hauptschulen;Erster Schulabschluss;männlich;44987
2013/14;Hauptschulen;Mittlerer Schulabschluss;männlich;23818
2013/14;Hauptschulen;Fachhochschulreife;männlich;0
2013/14;Hauptschulen;Allgemeine Hochschulreife;männlich;0
2013/14;Hauptschulen;Insgesamt;männlich;74477
2013/14;Schularten mit zwei Bildungsgängen;Ohne Ersten Schulabschluss;männlich;2536
2013/14;Schularten mit zwei Bildungsgängen;Erster Schulabschluss;männlich;10835
2013/14;Schularten mit zwei Bildungsgängen;Mittlerer Schulabschluss;männlich;26678
2013/14;Schularten mit zwei Bildungsgängen;Fachhochschulreife;männlich;0
2013/14;Schularten mit zwei Bildungsgängen;Allgemeine Hochschulreife;männlich;0
2013/14;Schularten mit zwei Bildungsgängen;Insgesamt;männlich;40049
2013/14;Realschulen;Ohne Ersten Schulabschluss;männlich;994
2013/14;Realschulen;Erster Schulabschluss;männlich;3996
2013/14;Realschulen;Mittlerer Schulabschluss;männlich;92687
2013/14;Realschulen;Fachhochschulreife;männlich;0
2013/14;Realschulen;Allgemeine Hochschulreife;männlich;0
2013/14;Realschulen;Insgesamt;männlich;97677
2013/14;Gymnasien (G9);Ohne Ersten Schulabschluss;männlich;23
2013/14;Gymnasien (G9);Erster Schulabschluss;männlich;102
2013/14;Gymnasien (G9);Mittlerer Schulabschluss;männlich;3039
2013/14;Gymnasien (G9);Fachhochschulreife;männlich;0
2013/14;Gymnasien (G9);Allgemeine Hochschulreife;männlich;19853
2013/14;Gymnasien (G9);Insgesamt;männlich;23017
2013/14;Gymnasien (G8);Ohne Ersten Schulabschluss;männlich;687
2013/14;Gymnasien (G8);Erster Schulabschluss;männlich;3085
2013/14;Gymnasien (G8);Mittlerer Schulabschluss;männlich;13469
2013/14;Gymnasien (G8);Fachhochschulreife;männlich;0
2013/14;Gymnasien (G8);Allgemeine Hochschulreife;männlich;91384
2013/14;Gymnasien (G8);Insgesamt;männlich;108625
2013/14;Schularten mit drei Bildungsgängen;Ohne Ersten Schulabschluss;männlich;2754
2013/14;Schularten mit drei Bildungsgängen;Erster Schulabschluss;männlich;12954
2013/14;Schularten mit drei Bildungsgängen;Mittlerer Schulabschluss;männlich;25281
2013/14;Schularten mit drei Bildungsgängen;Fachhochschulreife;männlich;0
2013/14;Schularten mit drei Bildungsgängen;Allgemeine Hochschulreife;männlich;11536
2013/14;Schularten mit drei Bildungsgängen;Insgesamt;männlich;52525
2013/14;Freie Waldorfschulen;Ohne Ersten Schulabschluss;männlich;106
2013/14;Freie Waldorfschulen;Erster Schulabschluss;männlich;225
2013/14;Freie Waldorfschulen;Mittlerer Schulabschluss;männlich;1006
2013/14;Freie Waldorfschulen;Fachhochschulreife;männlich;135
2013/14;Freie Waldorfschulen;Allgemeine Hochschulreife;männlich;1262
2013/14;Freie Waldorfschulen;Insgesamt;männlich;2734
2013/14;Förderschulen;Ohne Ersten Schulabschluss;männlich;15576
2013/14;Förderschulen;Erster Schulabschluss;männlich;6077
2013/14;Förderschulen;Mittlerer Schulabschluss;männlich;853
2013/14;Förderschulen;Fachhochschulreife;männlich;0
2013/14;Förderschulen;Allgemeine Hochschulreife;männlich;35
2013/14;Förderschulen;Insgesamt;männlich;22541
2013/14;Abendhauptschulen;Ohne Ersten Schulabschluss;männlich;0
2013/14;Abendhauptschulen;Erster Schulabschluss;männlich;228
2013/14;Abendhauptschulen;Mittlerer Schulabschluss;männlich;0
2013/14;Abendhauptschulen;Fachhochschulreife;männlich;0
2013/14;Abendhauptschulen;Allgemeine Hochschulreife;männlich;0
2013/14;Abendhauptschulen;Insgesamt;männlich;228
2013/14;Abendrealschulen;Ohne Ersten Schulabschluss;männlich;0
2013/14;Abendrealschulen;Erster Schulabschluss;männlich;866
2013/14;Abendrealschulen;Mittlerer Schulabschluss;männlich;2297
2013/14;Abendrealschulen;Fachhochschulreife;männlich;0
2013/14;Abendrealschulen;Allgemeine Hochschulreife;männlich;0
2013/14;Abendrealschulen;Insgesamt;männlich;3163
2013/14;Abendgymnasien;Ohne Ersten Schulabschluss;männlich;0
2013/14;Abendgymnasien;Erster Schulabschluss;männlich;3
2013/14;Abendgymnasien;Mittlerer Schulabschluss;männlich;550
2013/14;Abendgymnasien;Fachhochschulreife;männlich;199
2013/14;Abendgymnasien;Allgemeine Hochschulreife;männlich;1160
2013/14;Abendgymnasien;Insgesamt;männlich;1912
2013/14;Kollegs;Ohne Ersten Schulabschluss;männlich;0
2013/14;Kollegs;Erster Schulabschluss;männlich;1
2013/14;Kollegs;Mittlerer Schulabschluss;männlich;567
2013/14;Kollegs;Fachhochschulreife;männlich;57
2013/14;Kollegs;Allgemeine Hochschulreife;männlich;1603
2013/14;Kollegs;Insgesamt;männlich;2228
2013/14;Externe;Ohne Ersten Schulabschluss;männlich;0
2013/14;Externe;Erster Schulabschluss;männlich;2719
2013/14;Externe;Mittlerer Schulabschluss;männlich;1075
2013/14;Externe;Fachhochschulreife;männlich;51
2013/14;Externe;Allgemeine Hochschulreife;männlich;186
2013/14;Externe;Insgesamt;männlich;4031
2013/14;Insgesamt;Ohne Ersten Schulabschluss;männlich;28348
2013/14;Insgesamt;Erster Schulabschluss;männlich;86078
2013/14;Insgesamt;Mittlerer Schulabschluss;männlich;191320
2013/14;Insgesamt;Fachhochschulreife;männlich;442
2013/14;Insgesamt;Allgemeine Hochschulreife;männlich;127019
2013/14;Insgesamt;Insgesamt;männlich;433207
2013/14;Hauptschulen;Ohne Ersten Schulabschluss;weiblich;3753
2013/14;Hauptschulen;Erster Schulabschluss;weiblich;31931
2013/14;Hauptschulen;Mittlerer Schulabschluss;weiblich;20146
2013/14;Hauptschulen;Fachhochschulreife;weiblich;0
2013/14;Hauptschulen;Allgemeine Hochschulreife;weiblich;0
2013/14;Hauptschulen;Insgesamt;weiblich;55830
2013/14;Schularten mit zwei Bildungsgängen;Ohne Ersten Schulabschluss;weiblich;1504
2013/14;Schularten mit zwei Bildungsgängen;Erster Schulabschluss;weiblich;7246
2013/14;Schularten mit zwei Bildungsgängen;Mittlerer Schulabschluss;weiblich;25143
2013/14;Schularten mit zwei Bildungsgängen;Fachhochschulreife;weiblich;0
2013/14;Schularten mit zwei Bildungsgängen;Allgemeine Hochschulreife;weiblich;0
2013/14;Schularten mit zwei Bildungsgängen;Insgesamt;weiblich;33893
2013/14;Realschulen;Ohne Ersten Schulabschluss;weiblich;642
2013/14;Realschulen;Erster Schulabschluss;weiblich;2745
2013/14;Realschulen;Mittlerer Schulabschluss;weiblich;93774
2013/14;Realschulen;Fachhochschulreife;weiblich;0
2013/14;Realschulen;Allgemeine Hochschulreife;weiblich;0
2013/14;Realschulen;Insgesamt;weiblich;97161
2013/14;Gymnasien (G9);Ohne Ersten Schulabschluss;weiblich;7
2013/14;Gymnasien (G9);Erster Schulabschluss;weiblich;77
2013/14;Gymnasien (G9);Mittlerer Schulabschluss;weiblich;3214
2013/14;Gymnasien (G9);Fachhochschulreife;weiblich;0
2013/14;Gymnasien (G9);Allgemeine Hochschulreife;weiblich;24737
2013/14;Gymnasien (G9);Insgesamt;weiblich;28035
2013/14;Gymnasien (G8);Ohne Ersten Schulabschluss;weiblich;558
2013/14;Gymnasien (G8);Erster Schulabschluss;weiblich;2652
2013/14;Gymnasien (G8);Mittlerer Schulabschluss;weiblich;13234
2013/14;Gymnasien (G8);Fachhochschulreife;weiblich;1
2013/14;Gymnasien (G8);Allgemeine Hochschulreife;weiblich;109623
2013/14;Gymnasien (G8);Insgesamt;weiblich;126068
2013/14;Schularten mit drei Bildungsgängen;Ohne Ersten Schulabschluss;weiblich;2067
2013/14;Schularten mit drei Bildungsgängen;Erster Schulabschluss;weiblich;9842
2013/14;Schularten mit drei Bildungsgängen;Mittlerer Schulabschluss;weiblich;23875
2013/14;Schularten mit drei Bildungsgängen;Fachhochschulreife;weiblich;0
2013/14;Schularten mit drei Bildungsgängen;Allgemeine Hochschulreife;weiblich;14322
2013/14;Schularten mit drei Bildungsgängen;Insgesamt;weiblich;50106
2013/14;Freie Waldorfschulen;Ohne Ersten Schulabschluss;weiblich;109
2013/14;Freie Waldorfschulen;Erster Schulabschluss;weiblich;182
2013/14;Freie Waldorfschulen;Mittlerer Schulabschluss;weiblich;929
2013/14;Freie Waldorfschulen;Fachhochschulreife;weiblich;153
2013/14;Freie Waldorfschulen;Allgemeine Hochschulreife;weiblich;1717
2013/14;Freie Waldorfschulen;Insgesamt;weiblich;3090
2013/14;Förderschulen;Ohne Ersten Schulabschluss;weiblich;9962
2013/14;Förderschulen;Erster Schulabschluss;weiblich;3223
2013/14;Förderschulen;Mittlerer Schulabschluss;weiblich;433
2013/14;Förderschulen;Fachhochschulreife;weiblich;0
2013/14;Förderschulen;Allgemeine Hochschulreife;weiblich;18
2013/14;Förderschulen;Insgesamt;weiblich;13636
2013/14;Abendhauptschulen;Ohne Ersten Schulabschluss;weiblich;0
2013/14;Abendhauptschulen;Erster Schulabschluss;weiblich;218
2013/14;Abendhauptschulen;Mittlerer Schulabschluss;weiblich;0
2013/14;Abendhauptschulen;Fachhochschulreife;weiblich;0
2013/14;Abendhauptschulen;Allgemeine Hochschulreife;weiblich;0
2013/14;Abendhauptschulen;Insgesamt;weiblich;218
2013/14;Abendrealschulen;Ohne Ersten Schulabschluss;weiblich;0
2013/14;Abendrealschulen;Erster Schulabschluss;weiblich;696
2013/14;Abendrealschulen;Mittlerer Schulabschluss;weiblich;1994
2013/14;Abendrealschulen;Fachhochschulreife;weiblich;0
2013/14;Abendrealschulen;Allgemeine Hochschulreife;weiblich;0
2013/14;Abendrealschulen;Insgesamt;weiblich;2690
2013/14;Abendgymnasien;Ohne Ersten Schulabschluss;weiblich;0
2013/14;Abendgymnasien;Erster Schulabschluss;weiblich;2
2013/14;Abendgymnasien;Mittlerer Schulabschluss;weiblich;503
2013/14;Abendgymnasien;Fachhochschulreife;weiblich;147
2013/14;Abendgymnasien;Allgemeine Hochschulreife;weiblich;1361
2013/14;Abendgymnasien;Insgesamt;weiblich;2013
2013/14;Kollegs;Ohne Ersten Schulabschluss;weiblich;0
2013/14;Kollegs;Erster Schulabschluss;weiblich;0
2013/14;Kollegs;Mittlerer Schulabschluss;weiblich;484
2013/14;Kollegs;Fachhochschulreife;weiblich;42
2013/14;Kollegs;Allgemeine Hochschulreife;weiblich;1540
2013/14;Kollegs;Insgesamt;weiblich;2066
2013/14;Externe;Ohne Ersten Schulabschluss;weiblich;0
2013/14;Externe;Erster Schulabschluss;weiblich;1757
2013/14;Externe;Mittlerer Schulabschluss;weiblich;742
2013/14;Externe;Fachhochschulreife;weiblich;56
2013/14;Externe;Allgemeine Hochschulreife;weiblich;153
2013/14;Externe;Insgesamt;weiblich;2708
2013/14;Insgesamt;Ohne Ersten Schulabschluss;weiblich;18602
2013/14;Insgesamt;Erster Schulabschluss;weiblich;60571
2013/14;Insgesamt;Mittlerer Schulabschluss;weiblich;184471
2013/14;Insgesamt;Fachhochschulreife;weiblich;399
2013/14;Insgesamt;Allgemeine Hochschulreife;weiblich;153471
2013/14;Insgesamt;Insgesamt;weiblich;417514
2013/14;Hauptschulen;Ohne Ersten Schulabschluss;Insgesamt;9425
2013/14;Hauptschulen;Erster Schulabschluss;Insgesamt;76918
2013/14;Hauptschulen;Mittlerer Schulabschluss;Insgesamt;43964
2013/14;Hauptschulen;Fachhochschulreife;Insgesamt;0
2013/14;Hauptschulen;Allgemeine Hochschulreife;Insgesamt;0
2013/14;Hauptschulen;Insgesamt;Insgesamt;130307
2013/14;Schularten mit zwei Bildungsgängen;Ohne Ersten Schulabschluss;Insgesamt;4040
2013/14;Schularten mit zwei Bildungsgängen;Erster Schulabschluss;Insgesamt;18081
2013/14;Schularten mit zwei Bildungsgängen;Mittlerer Schulabschluss;Insgesamt;51821
2013/14;Schularten mit zwei Bildungsgängen;Fachhochschulreife;Insgesamt;0
2013/14;Schularten mit zwei Bildungsgängen;Allgemeine Hochschulreife;Insgesamt;0
2013/14;Schularten mit zwei Bildungsgängen;Insgesamt;Insgesamt;73942
2013/14;Realschulen;Ohne Ersten Schulabschluss;Insgesamt;1636
2013/14;Realschulen;Erster Schulabschluss;Insgesamt;6741
2013/14;Realschulen;Mittlerer Schulabschluss;Insgesamt;186461
2013/14;Realschulen;Fachhochschulreife;Insgesamt;0
2013/14;Realschulen;Allgemeine Hochschulreife;Insgesamt;0
2013/14;Realschulen;Insgesamt;Insgesamt;194838
2013/14;Gymnasien (G9);Ohne Ersten Schulabschluss;Insgesamt;30
2013/14;Gymnasien (G9);Erster Schulabschluss;Insgesamt;179
2013/14;Gymnasien (G9);Mittlerer Schulabschluss;Insgesamt;6253
2013/14;Gymnasien (G9);Fachhochschulreife;Insgesamt;0
2013/14;Gymnasien (G9);Allgemeine Hochschulreife;Insgesamt;44590
2013/14;Gymnasien (G9);Insgesamt;Insgesamt;51052
2013/14;Gymnasien (G8);Ohne Ersten Schulabschluss;Insgesamt;1245
2013/14;Gymnasien (G8);Erster Schulabschluss;Insgesamt;5737
2013/14;Gymnasien (G8);Mittlerer Schulabschluss;Insgesamt;26703
2013/14;Gymnasien (G8);Fachhochschulreife;Insgesamt;1
2013/14;Gymnasien (G8);Allgemeine Hochschulreife;Insgesamt;201007
2013/14;Gymnasien (G8);Insgesamt;Insgesamt;234693
2013/14;Schularten mit drei Bildungsgängen;Ohne Ersten Schulabschluss;Insgesamt;4821
2013/14;Schularten mit drei Bildungsgängen;Erster Schulabschluss;Insgesamt;22796
2013/14;Schularten mit drei Bildungsgängen;Mittlerer Schulabschluss;Insgesamt;49156
2013/14;Schularten mit drei Bildungsgängen;Fachhochschulreife;Insgesamt;0
2013/14;Schularten mit drei Bildungsgängen;Allgemeine Hochschulreife;Insgesamt;25858
2013/14;Schularten mit drei Bildungsgängen;Insgesamt;Insgesamt;102631
2013/14;Freie Waldorfschulen;Ohne Ersten Schulabschluss;Insgesamt;215
2013/14;Freie Waldorfschulen;Erster Schulabschluss;Insgesamt;407
2013/14;Freie Waldorfschulen;Mittlerer Schulabschluss;Insgesamt;1935
2013/14;Freie Waldorfschulen;Fachhochschulreife;Insgesamt;288
2013/14;Freie Waldorfschulen;Allgemeine Hochschulreife;Insgesamt;2979
2013/14;Freie Waldorfschulen;Insgesamt;Insgesamt;5824
