Tag von Date;Cat Value - Aliasse;Category;Fit;Maximum (Fit);Minimum (Fit);Tooltip_Cat_Value;Tooltip_Category;Fit
25. April 2024;total;gesamt;38,200887674;45,61;36,49;;the total population;38,200887674
2. Mai 2024;total;gesamt;38,217690380;45,61;36,49;;the total population;38,217690380
9. Mai 2024;total;gesamt;38,224907560;45,61;36,49;;the total population;38,224907560
16. Mai 2024;total;gesamt;38,221857738;45,61;36,49;;the total population;38,221857738
23. Mai 2024;total;gesamt;38,207895201;45,61;36,49;;the total population;38,207895201
30. Mai 2024;total;gesamt;38,182415029;45,61;36,49;;the total population;38,182415029
6. Juni 2024;total;gesamt;38,144860971;45,61;36,49;;the total population;38,144860971
13. Juni 2024;total;gesamt;38,094793109;45,61;36,49;;the total population;38,094793109
20. Juni 2024;total;gesamt;38,032121173;45,61;36,49;;the total population;38,032121173
27. Juni 2024;total;gesamt;37,957157449;45,61;36,49;;the total population;37,957157449
4. Juli 2024;total;gesamt;37,870604236;45,61;36,49;;the total population;37,870604236
11. Juli 2024;total;gesamt;37,773530185;45,61;36,49;;the total population;37,773530185
18. Juli 2024;total;gesamt;37,667332007;45,61;36,49;;the total population;37,667332007
25. Juli 2024;total;gesamt;37,553678716;45,61;36,49;;the total population;37,553678716
1. August 2024;total;gesamt;37,434437506;45,61;36,49;;the total population;37,434437506
8. August 2024;total;gesamt;37,311583461;45,61;36,49;;the total population;37,311583461
15. August 2024;total;gesamt;37,187098746;45,61;36,49;;the total population;37,187098746
22. August 2024;total;gesamt;37,062869859;45,61;36,49;;the total population;37,062869859
29. August 2024;total;gesamt;36,940592961;45,61;36,49;;the total population;36,940592961
5. September 2024;total;gesamt;36,821696589;45,61;36,49;;the total population;36,821696589
12. September 2024;total;gesamt;36,707288439;45,61;36,49;;the total population;36,707288439
19. September 2024;total;gesamt;36,598128991;45,61;36,49;;the total population;36,598128991
26. September 2024;total;gesamt;36,494630761;45,61;36,49;;the total population;36,494630761
