Tabelle: 13231-0003
Erwerbslosenquote: Deutschland, Monate, Geschlecht,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altersgruppen, Original- und bereinigte Daten;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erwerbslosenstatistik nach dem ILO-Konzept;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erwerbslosenquote (Prozent);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Originalwerte;;;;;;;;;;;;;;;;;;X13 JDemetra+  Trend;;;;;;;;;;;;;;;;;;BV4.1 Trend;;;;;;;;;;;;;;;;;
;;männlich;;;;;;weiblich;;;;;;Insgesamt;;;;;;männlich;;;;;;weiblich;;;;;;Insgesamt;;;;;;männlich;;;;;;weiblich;;;;;;Insgesamt;;;;;
;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;
;November;7,5;r;4,4;r;4,7;r;6,1;r;4,4;r;4,5;r;6,9;r;4,4;r;4,6;r;9,2;p;4,6;p;5,1;p;7,7;p;4,2;p;4,6;p;8,5;p;4,4;p;4,8;p;9,1;p;4,7;p;5,1;p;7,7;p;4,2;p;4,5;p;8,4;p;4,4;p;4,8;p
;Dezember;7,6;r;4,4;r;4,8;r;7,0;r;4,2;r;4,5;r;7,3;r;4,3;r;4,6;r;9,2;p;4,6;p;5,1;p;7,7;p;4,2;p;4,6;p;8,5;p;4,4;p;4,8;p;9,1;p;4,6;p;5,1;p;7,7;p;4,1;p;4,5;p;8,4;p;4,4;p;4,8;p
2014;Januar;9,8;r;4,9;r;5,4;r;7,1;r;4,7;r;5,0;r;8,6;r;4,8;r;5,2;r;9,2;p;4,6;p;5,1;p;7,8;p;4,2;p;4,6;p;8,5;p;4,4;p;4,8;p;9,1;p;4,6;p;5,1;p;7,7;p;4,1;p;4,5;p;8,4;p;4,4;p;4,8;p
;Februar;9,0;r;5,3;r;5,6;r;6,9;r;4,2;r;4,5;r;8,0;r;4,8;r;5,1;r;9,1;p;4,7;p;5,1;p;7,8;p;4,1;p;4,5;p;8,5;p;4,4;p;4,8;p;9,1;p;4,6;p;5,1;p;7,7;p;4,1;p;4,5;p;8,4;p;4,4;p;4,8;p
;März;9,5;r;5,1;r;5,6;r;8,2;r;4,1;r;4,5;r;8,9;r;4,6;r;5,1;r;9,0;p;4,7;p;5,1;p;7,8;p;4,1;p;4,4;p;8,4;p;4,4;p;4,8;p;9,0;p;4,6;p;5,0;p;7,7;p;4,1;p;4,4;p;8,4;p;4,4;p;4,8;p
;April;9,0;r;5,0;r;5,4;r;6,7;r;3,9;r;4,2;r;7,9;r;4,5;r;4,8;r;8,9;p;4,6;p;5,1;p;7,8;p;4,0;p;4,4;p;8,4;p;4,3;p;4,8;p;9,0;p;4,6;p;5,0;p;7,7;p;4,0;p;4,4;p;8,4;p;4,3;p;4,7;p
;Mai;8,9;r;4,5;r;5,0;r;7,2;r;3,6;r;4,0;r;8,1;r;4,1;r;4,5;r;8,8;p;4,6;p;5,0;p;7,8;p;4,0;p;4,4;p;8,4;p;4,3;p;4,7;p;8,9;p;4,6;p;5,0;p;7,7;p;4,0;p;4,4;p;8,3;p;4,3;p;4,7;p
;Juni;9,4;r;4,1;r;4,6;r;7,6;r;4,1;r;4,5;r;8,6;r;4,1;r;4,6;r;8,7;p;4,6;p;5,0;p;7,8;p;4,0;p;4,4;p;8,3;p;4,3;p;4,7;p;8,8;p;4,5;p;5,0;p;7,7;p;4,0;p;4,4;p;8,3;p;4,3;p;4,7;p
;Juli;9,8;r;4,0;r;4,6;r;10,3;r;3,6;r;4,2;r;10,0;r;3,8;r;4,4;r;8,7;p;4,5;p;5,0;p;7,7;p;4,0;p;4,4;p;8,2;p;4,3;p;4,7;p;8,7;p;4,5;p;5,0;p;7,7;p;4,0;p;4,4;p;8,3;p;4,3;p;4,7;p
;August;8,8;r;4,4;r;4,8;r;9,2;r;4,0;r;4,6;r;9,0;r;4,2;r;4,7;r;8,6;p;4,6;p;5,0;p;7,6;p;4,0;p;4,4;p;8,2;p;4,3;p;4,7;p;8,7;p;4,5;p;5,0;p;7,7;p;4,0;p;4,3;p;8,2;p;4,3;p;4,7;p
;September;7,9;r;4,5;r;4,8;r;7,8;r;3,9;r;4,3;r;7,9;r;4,2;r;4,6;r;8,5;p;4,6;p;5,0;p;7,6;p;4,0;p;4,4;p;8,1;p;4,3;p;4,7;p;8,6;p;4,5;p;4,9;p;7,6;p;3,9;p;4,3;p;8,1;p;4,3;p;4,6;p
;Oktober;9,7;r;4,2;r;4,8;r;7,4;r;3,9;r;4,3;r;8,7;r;4,1;r;4,5;r;8,5;p;4,6;p;5,0;p;7,5;p;4,0;p;4,3;p;8,0;p;4,3;p;4,7;p;8,6;p;4,5;p;4,9;p;7,5;p;3,9;p;4,3;p;8,1;p;4,2;p;4,6;p
